station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude,createdAt,updatedAt
86,Macquarie Pass,Illawarra Highway,AM PEAK,903,-34.566525,150.662857,0000-00-00 00:00:00,0000-00-00 00:00:00
87,Macquarie Pass,Illawarra Highway,OFF PEAK,1596,-34.566525,150.662857,0000-00-00 00:00:00,0000-00-00 00:00:00
88,Macquarie Pass,Illawarra Highway,PM PEAK,1160,-34.566525,150.662857,0000-00-00 00:00:00,0000-00-00 00:00:00
89,Spring Hill,Five Islands Road,ALL DAYS,37624,-34.465855,150.874085,0000-00-00 00:00:00,0000-00-00 00:00:00
90,Spring Hill,Five Islands Road,AM PEAK,10473,-34.465855,150.874085,0000-00-00 00:00:00,0000-00-00 00:00:00
91,Spring Hill,Five Islands Road,OFF PEAK,20099,-34.465855,150.874085,0000-00-00 00:00:00,0000-00-00 00:00:00
92,Spring Hill,Five Islands Road,PM PEAK,10480,-34.465855,150.874085,0000-00-00 00:00:00,0000-00-00 00:00:00
93,Gerringong,Fern Street,ALL DAYS,11583,-34.75335693,150.8264313,0000-00-00 00:00:00,0000-00-00 00:00:00
94,Gerringong,Fern Street,AM PEAK,2551,-34.75335693,150.8264313,0000-00-00 00:00:00,0000-00-00 00:00:00
95,Gerringong,Fern Street,OFF PEAK,5256,-34.75335693,150.8264313,0000-00-00 00:00:00,0000-00-00 00:00:00
96,Gerringong,Fern Street,PM PEAK,3428,-34.75335693,150.8264313,0000-00-00 00:00:00,0000-00-00 00:00:00
97,Port Kembla,Illawarra Street,ALL DAYS,7039,-34.48645,150.901474,0000-00-00 00:00:00,0000-00-00 00:00:00
98,Port Kembla,Illawarra Street,AM PEAK,1563,-34.48645,150.901474,0000-00-00 00:00:00,0000-00-00 00:00:00
99,Port Kembla,Illawarra Street,OFF PEAK,3779,-34.48645,150.901474,0000-00-00 00:00:00,0000-00-00 00:00:00
100,Port Kembla,Illawarra Street,PM PEAK,2117,-34.48645,150.901474,0000-00-00 00:00:00,0000-00-00 00:00:00
101,Sutton Forest,Hume Highway,ALL DAYS,22634,-34.617638,150.214416,0000-00-00 00:00:00,0000-00-00 00:00:00
102,Sutton Forest,Hume Highway,AM PEAK,4511,-34.617638,150.214416,0000-00-00 00:00:00,0000-00-00 00:00:00
103,Sutton Forest,Hume Highway,OFF PEAK,12068,-34.617638,150.214416,0000-00-00 00:00:00,0000-00-00 00:00:00
104,Sutton Forest,Hume Highway,PM PEAK,5502,-34.617638,150.214416,0000-00-00 00:00:00,0000-00-00 00:00:00
105,Falls Creek,Jervis Bay Road,ALL DAYS,8614,-34.986893,150.592178,0000-00-00 00:00:00,0000-00-00 00:00:00
106,Falls Creek,Jervis Bay Road,AM PEAK,2277,-34.986893,150.592178,0000-00-00 00:00:00,0000-00-00 00:00:00
107,Falls Creek,Jervis Bay Road,OFF PEAK,4067,-34.986893,150.592178,0000-00-00 00:00:00,0000-00-00 00:00:00
108,Falls Creek,Jervis Bay Road,PM PEAK,2616,-34.986893,150.592178,0000-00-00 00:00:00,0000-00-00 00:00:00
109,Figtree,Princes Highway,ALL DAYS,26887,-34.439182,150.85762,0000-00-00 00:00:00,0000-00-00 00:00:00
110,Figtree,Princes Highway,AM PEAK,6357,-34.439182,150.85762,0000-00-00 00:00:00,0000-00-00 00:00:00
111,Figtree,Princes Highway,OFF PEAK,13145,-34.439182,150.85762,0000-00-00 00:00:00,0000-00-00 00:00:00
112,Figtree,Princes Highway,PM PEAK,8799,-34.439182,150.85762,0000-00-00 00:00:00,0000-00-00 00:00:00
113,Menangle Park,Hume Motorway,ALL DAYS,52107,-34.115025,150.759109,0000-00-00 00:00:00,0000-00-00 00:00:00
114,Menangle Park,Hume Motorway,AM PEAK,12402,-34.115025,150.759109,0000-00-00 00:00:00,0000-00-00 00:00:00
115,Menangle Park,Hume Motorway,OFF PEAK,26184,-34.115025,150.759109,0000-00-00 00:00:00,0000-00-00 00:00:00
116,Menangle Park,Hume Motorway,PM PEAK,14290,-34.115025,150.759109,0000-00-00 00:00:00,0000-00-00 00:00:00
