station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
193,Roselands,King Georges Road,ALL DAYS,74384,-33.934917,151.0737
194,Roselands,King Georges Road,AM PEAK,16342,-33.934917,151.0737
195,Roselands,King Georges Road,OFF PEAK,40854,-33.934917,151.0737
196,Roselands,King Georges Road,PM PEAK,17792,-33.934917,151.0737
197,Kingsgrove,Bexley Road,ALL DAYS,34263,-33.935444,151.111282
198,Kingsgrove,Bexley Road,AM PEAK,8470,-33.935444,151.111282
199,Kingsgrove,Bexley Road,OFF PEAK,16560,-33.935444,151.111282
200,Kingsgrove,Bexley Road,PM PEAK,10154,-33.935444,151.111282
201,Summer Hill,Liverpool Road,ALL DAYS,23684,-33.889008,151.133102
202,Summer Hill,Liverpool Road,AM PEAK,5859,-33.889008,151.133102
203,Summer Hill,Liverpool Road,OFF PEAK,11645,-33.889008,151.133102
204,Summer Hill,Liverpool Road,PM PEAK,7014,-33.889008,151.133102
205,Homebush West,Centenary Drive,ALL DAYS,95423,-33.86327,151.066605
206,Homebush West,Centenary Drive,AM PEAK,22775,-33.86327,151.066605
207,Homebush West,Centenary Drive,OFF PEAK,52959,-33.86327,151.066605
208,Homebush West,Centenary Drive,PM PEAK,21452,-33.86327,151.066605
209,Strathfield South,Liverpool Road,ALL DAYS,53342,-33.887241,151.073135
210,Strathfield South,Liverpool Road,AM PEAK,13615,-33.887241,151.073135
211,Strathfield South,Liverpool Road,OFF PEAK,27016,-33.887241,151.073135
212,Strathfield South,Liverpool Road,PM PEAK,15236,-33.887241,151.073135
213,Rhodes,Concord Road,ALL DAYS,93615,-33.824696,151.093216
214,Rhodes,Concord Road,AM PEAK,22525,-33.824696,151.093216
215,Rhodes,Concord Road,OFF PEAK,48759,-33.824696,151.093216
216,Rhodes,Concord Road,PM PEAK,25198,-33.824696,151.093216
217,Five Dock,Parramatta Road,ALL DAYS,80405,-33.869789,151.112778
218,Five Dock,Parramatta Road,AM PEAK,17191,-33.869789,151.112778
219,Five Dock,Parramatta Road,OFF PEAK,38081,-33.869789,151.112778
220,Five Dock,Parramatta Road,PM PEAK,16144,-33.869789,151.112778
221,Lane Cove,Epping Road,ALL DAYS,39449,-33.812298,151.170197
222,Lane Cove,Epping Road,AM PEAK,9092,-33.812298,151.170197
223,Lane Cove,Epping Road,OFF PEAK,21384,-33.812298,151.170197
224,Lane Cove,Epping Road,PM PEAK,10182,-33.812298,151.170197
225,Lane Cove West,Burns Bay Road,ALL DAYS,39785,-33.821175,151.149902
226,Lane Cove West,Burns Bay Road,AM PEAK,11436,-33.821175,151.149902
227,Lane Cove West,Burns Bay Road,OFF PEAK,19204,-33.821175,151.149902
228,Lane Cove West,Burns Bay Road,PM PEAK,12095,-33.821175,151.149902
229,Lane Cove North,Pacific Highway,ALL DAYS,61721,-33.806141,151.17952
230,Lane Cove North,Pacific Highway,AM PEAK,15333,-33.806141,151.17952
231,Lane Cove North,Pacific Highway,OFF PEAK,32665,-33.806141,151.17952
232,Lane Cove North,Pacific Highway,PM PEAK,15363,-33.806141,151.17952
233,Castlecrag,Eastern Valley Way,ALL DAYS,34591,-33.799751,151.210465
234,Castlecrag,Eastern Valley Way,AM PEAK,8943,-33.799751,151.210465
235,Castlecrag,Eastern Valley Way,OFF PEAK,14240,-33.799751,151.210465
236,Castlecrag,Eastern Valley Way,PM PEAK,9577,-33.799751,151.210465
237,Chatswood,Penshurst Street,ALL DAYS,28812,-33.788738,151.193848
238,Chatswood,Penshurst Street,AM PEAK,8943,-33.788738,151.193848
239,Chatswood,Penshurst Street,OFF PEAK,13955,-33.788738,151.193848
240,Chatswood,Penshurst Street,PM PEAK,7696,-33.788738,151.193848
241,Willoughby,Willoughby Road,ALL DAYS,35509,-33.811386,151.199509
242,Willoughby,Willoughby Road,AM PEAK,10557,-33.811386,151.199509
243,Willoughby,Willoughby Road,OFF PEAK,16523,-33.811386,151.199509
244,Willoughby,Willoughby Road,PM PEAK,10344,-33.811386,151.199509
245,Taren Point,Taren Point Road,ALL DAYS,57578,-34.011719,151.126007
246,Taren Point,Taren Point Road,AM PEAK,15899,-34.011719,151.126007
247,Taren Point,Taren Point Road,OFF PEAK,27275,-34.011719,151.126007
248,Taren Point,Taren Point Road,PM PEAK,18062,-34.011719,151.126007
249,Loftus,Princes Highway,ALL DAYS,57373,-34.054104,151.046188
250,Loftus,Princes Highway,AM PEAK,16016,-34.054104,151.046188
251,Loftus,Princes Highway,OFF PEAK,24877,-34.054104,151.046188
252,Loftus,Princes Highway,PM PEAK,17571,-34.054104,151.046188
253,Engadine,Heathcote Road,ALL DAYS,22851,-34.072643,151.000855
254,Engadine,Heathcote Road,AM PEAK,5982,-34.072643,151.000855
255,Engadine,Heathcote Road,OFF PEAK,10720,-34.072643,151.000855
256,Engadine,Heathcote Road,PM PEAK,6909,-34.072643,151.000855
257,Padstow Heights,Alfords Point Road,ALL DAYS,43920,-33.977142,151.030533
